step,bce,L_struct_total,JS_soft,moment_mean,moment_std,deg_gen_mean,deg_gen_std,hub1pct_gen,auc,ap
0,1.0559242963790894,3.578920841217041,0.5914918184280396,141.42601013183594,15.890888214111328,154.18600463867188,3.2910122871398926,0.010974135249853134,0.8825021467392702,0.5427518443841194
1,1.04434072971344,3.591599464416504,0.5918048620223999,142.28639221191406,15.406681060791016,155.04638671875,3.775219440460205,0.01110956072807312,0.8829037283847779,0.5438503365535626
2,1.0327616930007935,3.606250047683716,0.5921555161476135,143.25961303710938,14.890223503112793,156.0196075439453,4.2916765213012695,0.011251385323703289,0.8832076141114042,0.5442250365142254
3,1.022335410118103,3.622952699661255,0.5925440788269043,144.34886169433594,14.3431396484375,157.10885620117188,4.838759899139404,0.011398589238524437,0.8834703647142909,0.5451529136979859
4,1.014250636100769,3.641740083694458,0.5929693579673767,145.5543212890625,13.768431663513184,158.31431579589844,5.413468360900879,0.01154978759586811,0.8837449416652526,0.5460453719372307
5,1.0065969228744507,3.66249942779541,0.593427300453186,146.86727905273438,13.172637939453125,159.6272735595703,6.009262561798096,0.01170316431671381,0.8839048544587903,0.5461369722654138
6,0.9995002746582031,3.6849348545074463,0.5939104557037354,148.268310546875,12.565834045410156,161.02830505371094,6.6160664558410645,0.011855828575789928,0.8840742797496928,0.5459535361020232
7,0.9941746592521667,3.708435297012329,0.594404935836792,149.71981811523438,11.963396072387695,162.4798126220703,7.218503952026367,0.012003285810351372,0.8842683861148389,0.5464536220786003
8,0.9950119853019714,3.731759548187256,0.5948859453201294,151.14846801757812,11.390432357788086,163.90846252441406,7.791467189788818,0.012139717116951942,0.8844252137740962,0.5470060091212516
9,0.9908140301704407,3.7526803016662598,0.5953105688095093,152.42489624023438,10.887202262878418,165.1848907470703,8.294697761535645,0.012256686575710773,0.8844972002406405,0.5474497326733936
10,0.9945994019508362,3.76967716217041,0.5956524014472961,153.46340942382812,10.47567367553711,166.22340393066406,8.706226348876953,0.012350703589618206,0.8845558177919693,0.547699223298028
11,0.9977638125419617,3.7809994220733643,0.5958807468414307,154.16513061523438,10.18160629272461,166.9251251220703,9.000293731689453,0.012417642399668694,0.8845912968361948,0.5476787143333669
12,0.9955361485481262,3.786200523376465,0.5959897041320801,154.50668334960938,10.007728576660156,167.2666778564453,9.174171447753906,0.012458156794309616,0.8846092934528309,0.5477045873179076
13,0.9923704862594604,3.7860512733459473,0.5959955453872681,154.53443908691406,9.936718940734863,167.29443359375,9.2451810836792,0.012476591393351555,0.8846026089952231,0.5475848141879043
14,0.9968400001525879,3.7817471027374268,0.5959212183952332,154.3179931640625,9.946586608886719,167.07798767089844,9.235313415527344,0.012477719224989414,0.884568672518138,0.5473805047594218
15,0.9947287440299988,3.7739572525024414,0.5957790613174438,153.8950958251953,10.027629852294922,166.65509033203125,9.15427017211914,0.012463381513953209,0.884531393812249,0.5471572708907201
16,0.9926996827125549,3.763878345489502,0.5955910682678223,153.3345947265625,10.159560203552246,166.09458923339844,9.022339820861816,0.01243759784847498,0.8844668630868825,0.5468628092896436
17,0.9843701124191284,3.75248384475708,0.5953754186630249,152.6927032470703,10.325453758239746,165.45269775390625,8.856446266174316,0.012404045090079308,0.884421614450769,0.5468172081755373
18,0.9821843504905701,3.7409653663635254,0.5951554179191589,152.03976440429688,10.50146484375,164.7997589111328,8.680435180664062,0.012367788702249527,0.884325718193551,0.546528242640257
19,0.9850589632987976,3.7299304008483887,0.5949430465698242,151.4121856689453,10.6743803024292,164.17218017578125,8.507519721984863,0.012331788428127766,0.884238048961081,0.5462974381704861
20,0.9839897751808167,3.7195849418640137,0.5947424173355103,150.82252502441406,10.839208602905273,163.58251953125,8.342691421508789,0.01229696162045002,0.8841465233107604,0.5457805334307116
21,0.9808011651039124,3.7102932929992676,0.5945615768432617,150.2933807373047,10.986424446105957,163.05337524414062,8.195475578308105,0.012265603989362717,0.8840462564466451,0.545541310257951
22,0.9800101518630981,3.702408790588379,0.5944081544876099,149.84703063964844,11.105989456176758,162.60702514648438,8.075910568237305,0.012240229174494743,0.8839444470153897,0.5453541647699857
23,0.981700599193573,3.6960339546203613,0.5942848920822144,149.49069213867188,11.193498611450195,162.2506866455078,7.988401889801025,0.012222071178257465,0.8839038260806968,0.5458309377535574
24,0.9795836210250854,3.691053867340088,0.5941897630691528,149.2182159423828,11.25,161.97821044921875,7.931900501251221,0.012211039662361145,0.8838346676539096,0.5459666100090631
25,0.977547824382782,3.6875252723693848,0.5941245555877686,149.0337371826172,11.272621154785156,161.79373168945312,7.909278869628906,0.012207947671413422,0.883808701107049,0.5458172503312989
26,0.9803004264831543,3.685427665710449,0.5940889120101929,148.93658447265625,11.260719299316406,161.6965789794922,7.9211812019348145,0.012213044799864292,0.8837642237545056,0.5456225641406853
27,0.9775826930999756,3.6844887733459473,0.5940772891044617,148.9103240966797,11.220478057861328,161.67031860351562,7.961422443389893,0.012224883772432804,0.8837032923524664,0.5454495787532476
28,0.9774028658866882,3.684680223464966,0.5940894484519958,148.95347595214844,11.152119636535645,161.71347045898438,8.029780387878418,0.012243427336215973,0.8836847815467835,0.5453582422931567
29,0.975130021572113,3.6858315467834473,0.5941213369369507,149.0556182861328,11.059793472290039,161.81561279296875,8.122106552124023,0.01226765662431717,0.8836601004725397,0.5453789622944771
30,0.9724985361099243,3.68782377243042,0.5941709280014038,149.20947265625,10.946361541748047,161.96946716308594,8.235538482666016,0.012296855449676514,0.8836385045325764,0.5453898797324261
31,0.97262042760849,3.690565586090088,0.5942359566688538,149.40940856933594,10.814162254333496,162.16940307617188,8.367737770080566,0.012330429628491402,0.8836274494680715,0.5454231084646451
32,0.9714148044586182,3.693826198577881,0.5943115949630737,149.64114379882812,10.669184684753418,162.40113830566406,8.512715339660645,0.012366915121674538,0.8836097099459588,0.5452955145174331
33,0.9697336554527283,3.697340488433838,0.5943921208381653,149.88851928710938,10.517828941345215,162.6485137939453,8.664071083068848,0.012404769659042358,0.8836097099459588,0.5452477462426198
34,0.9708800911903381,3.7009172439575195,0.5944738388061523,150.13987731933594,10.364608764648438,162.89987182617188,8.817291259765625,0.012442941777408123,0.8836189653488001,0.5451590074936942
35,0.9712213277816772,3.7042431831359863,0.5945502519607544,150.37603759765625,10.217239379882812,163.1360321044922,8.96466064453125,0.012479648925364017,0.8836215362940338,0.5451659852014258
36,0.9654545783996582,3.7070369720458984,0.5946155786514282,150.5799102783203,10.082301139831543,163.33990478515625,9.09959888458252,0.012513410300016403,0.8836035396773978,0.5452960522296129
37,0.9704581499099731,3.709366798400879,0.5946714878082275,150.75607299804688,9.95740795135498,163.5160675048828,9.224492073059082,0.012544837780296803,0.8835947984636031,0.5452889530410537
38,0.9674791693687439,3.710641860961914,0.5947059392929077,150.86856079101562,9.856481552124023,163.62855529785156,9.325418472290039,0.01257080864161253,0.8835575197577141,0.544996650582498
39,0.9670172929763794,3.710892915725708,0.594719648361206,150.91961669921875,9.778098106384277,163.6796112060547,9.403801918029785,0.012591715902090073,0.8835336099670404,0.5449478824643037
40,0.9674437642097473,3.710066318511963,0.5947117805480957,150.90591430664062,9.723627090454102,163.66590881347656,9.458272933959961,0.012607250362634659,0.8835068721366097,0.5449744116737628
41,0.9627068042755127,3.708142042160034,0.5946817398071289,150.82608032226562,9.693888664245605,163.58607482910156,9.488011360168457,0.012617252767086029,0.8834503113414678,0.545049524148462
42,0.9649069309234619,3.705470323562622,0.5946364402770996,150.70143127441406,9.68055248260498,163.46142578125,9.501347541809082,0.012623622082173824,0.8833850093325312,0.545014533390574
43,0.9621991515159607,3.702096462249756,0.5945769548416138,150.5341796875,9.683591842651367,163.29417419433594,9.498308181762695,0.012626320123672485,0.8833186789455011,0.5449185609352952
44,0.95871502161026,3.6983680725097656,0.5945101976394653,150.34544372558594,9.694931030273438,163.10543823242188,9.486968994140625,0.01262714248150587,0.8832405222103958,0.5447561289091666
45,0.9643675684928894,3.694721221923828,0.5944451093673706,150.16195678710938,9.703713417053223,162.9219512939453,9.47818660736084,0.012628577649593353,0.8831397411572338,0.5447979212790819
46,0.9555573463439941,3.690866470336914,0.594375491142273,149.965576171875,9.717948913574219,162.72557067871094,9.463951110839844,0.012628774158656597,0.883074953337344,0.5448059671459763
47,0.9569692611694336,3.687525749206543,0.5943165421485901,149.8013916015625,9.718152046203613,162.56138610839844,9.46374797821045,0.012632272206246853,0.8829988533584258,0.544811089642617
48,0.9583337306976318,3.684680938720703,0.5942680239677429,149.66831970214844,9.704645156860352,162.42831420898438,9.477254867553711,0.012639009393751621,0.882919668245227,0.5445985885196376
49,0.9545915722846985,3.682312250137329,0.5942294001579285,149.56521606445312,9.677849769592285,162.32521057128906,9.504050254821777,0.012648887932300568,0.8828831608229082,0.54462761969716
50,0.9547585248947144,3.680530071258545,0.5942032337188721,149.4995880126953,9.633502006530762,162.25958251953125,9.5483980178833,0.012662980705499649,0.8828628503555618,0.5447194533439706
51,0.9550570845603943,3.6792659759521484,0.5941880941390991,149.46726989746094,9.573256492614746,162.22726440429688,9.608643531799316,0.01268086303025484,0.8828286567839532,0.5449146253624878
52,0.9510831832885742,3.678408145904541,0.5941816568374634,149.4613800048828,9.499916076660156,162.22137451171875,9.681983947753906,0.01270190067589283,0.8828050040878029,0.5449711241508105
53,0.9541926980018616,3.6781163215637207,0.5941874980926514,149.49212646484375,9.408641815185547,162.2521209716797,9.773258209228516,0.012727174907922745,0.8827875216602136,0.545067049095429
54,0.9543448090553284,3.677945137023926,0.5941959619522095,149.5315704345703,9.311795234680176,162.29156494140625,9.870104789733887,0.012753845192492008,0.8827746669340449,0.5450663237533842
55,0.952307403087616,3.677734375,0.5942038893699646,149.56951904296875,9.214015007019043,162.3295135498047,9.96788501739502,0.012780856341123581,0.8827790375409423,0.5450547528525297
56,0.9498983025550842,3.6774117946624756,0.5942096710205078,149.60165405273438,9.116910934448242,162.3616485595703,10.06498908996582,0.012807847000658512,0.8827751811230917,0.5448777666895289
57,0.941742479801178,3.6769540309906006,0.59421306848526,149.6266632080078,9.020779609680176,162.38665771484375,10.161120414733887,0.012834726832807064,0.882796777063055,0.5454682241760981
